Category,PT_Component,Sub_PT_Component,Test_Method,Liquid_State,Voltage_Class_kV,Primary_Standard,Standard_Tier,Unit,Score_5_Excellent,Score_4_Good,Score_3_Monitoring,Score_2_Warning,Score_1_Critical,Weight_Percent,Standard_Recommendation
Part 1: Condition Health Index (CHI),Insulating Oil,Dissolve Gas Analysis,Dissolve Gas Analysis (DGA),Service-Aged Liquid,All Voltage Classes,IEEE C57.104-2019,Exception (IEEE C57.104-2019),ppm / Diagnosis,DGA Status 1 (Normal / No Fault Detected),Status 1 (Low gas concentration within limits),DGA Status 2 (Monitoring / Gas Exceed T1 Limit),Status 2 (Caution / Moderate Gas Generation),DGA Status 3-4 (Critical / High Energy Fault),15.0%,Perform DGA trend analysis & Duval Triangle fault diagnosis per IEEE C57.104
Part 1: Condition Health Index (CHI),Insulating Oil,Electrical Chemical and Physical,Dielectric Breakdown Voltage (BDV) [ASTM D 1816 2mm],Service-Aged Liquid,≤ 69 kV,IEEE C57.152-2013 Table 5,Primary (IEEE C57.152-2013 Table 5),kV,≥ 48 kV,45 - 47 kV,41 - 44 kV,40 kV (IEEE Table 5 Min Limit = Score 2),< 40 kV (Critical / Below IEEE Table 5 Limit),1.67%,BDV = 40 kV is Score 2 (IEEE Table 5 Limit for ≤69 kV); BDV < 40 kV is Score 1 (Critical)
Part 1: Condition Health Index (CHI),Insulating Oil,Electrical Chemical and Physical,Dielectric Breakdown Voltage (BDV) [ASTM D 1816 2mm],Service-Aged Liquid,≥ 69 < 230 kV,IEEE C57.152-2013 Table 5,Primary (IEEE C57.152-2013 Table 5),kV,≥ 55 kV,52 - 54 kV,48 - 51 kV,47 kV (IEEE Table 5 Min Limit = Score 2),< 47 kV (Critical / Below IEEE Table 5 Limit),1.67%,BDV = 47 kV is Score 2 (IEEE Table 5 Limit for 69-230 kV); BDV < 47 kV is Score 1 (Critical)
Part 1: Condition Health Index (CHI),Insulating Oil,Electrical Chemical and Physical,Dielectric Breakdown Voltage (BDV) [ASTM D 1816 2mm],Service-Aged Liquid,≥ 230 kV,IEEE C57.152-2013 Table 5,Primary (IEEE C57.152-2013 Table 5),kV,≥ 60 kV,55 - 59 kV,51 - 54 kV,50 kV (IEEE Table 5 Min Limit = Score 2),< 50 kV (Critical / Below IEEE Table 5 Limit),1.67%,BDV = 50 kV is Score 2 (IEEE Table 5 Limit for ≥230 kV); BDV < 50 kV is Score 1 (Critical)
Part 1: Condition Health Index (CHI),Insulating Oil,Electrical Chemical and Physical,Water Content (WC),Service-Aged Liquid,All Voltage Classes,IEEE C57.152-2013,Primary (IEEE C57.152-2013 / ASTM D1533),ppm,≤ 15 ppm,16 - 25 ppm,26 - 35 ppm,36 - 40 ppm,> 40 ppm,1.67%,Perform oil vacuum dehydration if WC > 25 ppm per IEEE C57.152 Table 12
Part 1: Condition Health Index (CHI),Insulating Oil,Electrical Chemical and Physical,Power Factor at 25 °C,Service-Aged Liquid,All Voltage Classes,IEEE C57.152-2013,Primary (IEEE C57.152-2013 / ASTM D924),%,≤ 0.50 %,0.51 - 1.00 %,1.01 - 2.00 %,2.01 - 3.00 %,> 3.00 %,1.67%,Check oil polar impurities if PF > 0.5% per IEEE C57.152 Table 12
Part 1: Condition Health Index (CHI),Insulating Oil,Electrical Chemical and Physical,Power Factor at 100 °C,Service-Aged Liquid,All Voltage Classes,IEEE C57.152-2013,Primary (IEEE C57.152-2013 / ASTM D924),%,≤ 1.00 %,1.01 - 3.00 %,3.01 - 5.00 %,5.01 - 7.00 %,> 7.00 %,1.67%,Perform oil reclamation if High Temp PF > 3% per IEEE C57.152 Table 12
Part 1: Condition Health Index (CHI),Insulating Oil,Electrical Chemical and Physical,Interfacial Tension (IFT),Service-Aged Liquid,All Voltage Classes,IEEE C57.152-2013,Primary (IEEE C57.152-2013 / ASTM D971),dynes/cm,≥ 35 dynes/cm,30 - 34 dynes/cm,25 - 29 dynes/cm,20 - 24 dynes/cm,< 20 dynes/cm,1.67%,Reclaim oil if IFT < 30 dynes/cm per IEEE C57.152 Table 12
Part 1: Condition Health Index (CHI),Insulating Oil,Electrical Chemical and Physical,Acidity (Neutralization Number),Service-Aged Liquid,All Voltage Classes,IEEE C57.152-2013,Primary (IEEE C57.152-2013 / ASTM D974),mgKOH/g,≤ 0.05 mgKOH/g,0.06 - 0.15 mgKOH/g,0.16 - 0.20 mgKOH/g,0.21 - 0.30 mgKOH/g,> 0.30 mgKOH/g,1.67%,Perform neutralization & oil reclamation if Acidity > 0.15 per IEEE C57.152 Table 12
Part 1: Condition Health Index (CHI),Insulating Oil,Electrical Chemical and Physical,Color Number,Service-Aged Liquid,All Voltage Classes,IEEE C57.152-2013,Primary (IEEE C57.152-2013 / ASTM D1500),Color Scale,≤ L 1.5,L 2.0 - L 2.5,L 3.0 - L 3.5,L 4.0 - L 4.5,≥ L 5.0 (Dark / Oxidized),1.67%,Dark color indicates advanced oil oxidation per IEEE C57.152 Table 12
Part 1: Condition Health Index (CHI),Insulating Oil,Electrical Chemical and Physical,Oil Conductivity,Service-Aged Liquid,All Voltage Classes,CIGRE 761,Supplementary (CIGRE 761 / IEC 61620),pS/m,≤ 10.0 pS/m,10.1 - 15.0 pS/m,15.1 - 20.0 pS/m,20.1 - 30.0 pS/m,> 30.0 pS/m,1.67%,Monitor oil conductivity trend per CIGRE 761 Table A-8
Part 1: Condition Health Index (CHI),Insulating Oil,Electrical Chemical and Physical,Inhibitor (DBPC),Service-Aged Liquid,All Voltage Classes,CIGRE 761,Supplementary (CIGRE 761 / IEC 60422),%,≥ 0.30 % (> 90% of original),0.20 - 0.29 % (60-90% of original),0.10 - 0.19 % (40-60% of original),0.05 - 0.09 % (< 40% of original),< 0.05 %,1.67%,Top up DBPC inhibitor if concentration < 0.2% per CIGRE 761 Table A-8
Part 1: Condition Health Index (CHI),Insulating Oil,Paper Aging,Furan [2-FAL],Service-Aged Liquid,All Voltage Classes,CIGRE 761,Supplementary (CIGRE 761 / CIGRE 323 / ASTM D5837),ppb,≤ 100 ppb,101 - 500 ppb,501 - 1000 ppb,1001 - 2500 ppb,> 2500 ppb,5.0%,Furan > 1000 ppb indicates severe paper degradation per CIGRE 761 Table A-2
Part 1: Condition Health Index (CHI),Insulating Oil,Paper Aging,Estimated DP [Furan],Service-Aged Liquid,All Voltage Classes,CIGRE 761,Supplementary (CIGRE 761 / CIGRE 323),DP Value,≥ 700 (Healthy Insulation),550 - 699 (Moderate Ageing),400 - 549 (Advanced Ageing),250 - 399 (Extensive Degradation),< 250 (End of Mechanical Life / Critical),5.0%,DP < 250 indicates insulation paper embrittlement per CIGRE 761 Table A-2
Part 1: Condition Health Index (CHI),Insulating Oil,Paper Aging,Sludge condition,Service-Aged Liquid,All Voltage Classes,CIGRE 761,Supplementary (CIGRE 761 / IEC 60422),% weight / Condition,Non-sludge (< 0.01 %),0.01 - 0.02 %,0.03 - 0.05 %,0.06 - 0.10 %,Heavy Sludge (> 0.10 %),3.0%,Sludge precipitation restricts oil cooling flow per CIGRE 761 Table A-8
Part 1: Condition Health Index (CHI),Insulating Oil,Corrosive Sulfur,Corrosive Sulfur,Service-Aged Liquid,All Voltage Classes,CIGRE 761,Supplementary (CIGRE 761 / ASTM D1275B),Corrosion Class,"Non-corrosive (Class 1a, 1b)","Non-corrosive (Class 2a, 2b)","Slightly Corrosive (Class 2c, 2d, 2e)","Corrosive (Class 3a, 3b)","Extremely Corrosive (Class 4a, 4b, 4c)",5.0%,Add passivator (Irgamet 39) if corrosive sulfur detected per CIGRE 761 Table A-8
Part 1: Condition Health Index (CHI),Insulating Oil,Corrosive Sulfur,Passivator [Irgamet 39],Service-Aged Liquid,All Voltage Classes,CIGRE 761,Supplementary (CIGRE 761 / IEC 60666),ppm,≥ 100 ppm,70 - 99 ppm,50 - 69 ppm,30 - 49 ppm,< 30 ppm,5.0%,Replenish passivator if level drops below 50 ppm per CIGRE 761 Table A-8
Part 1: Condition Health Index (CHI),Active Part,Core & Clamp,Core-Ground Insulation Resistance,Service-Aged Liquid,All Voltage Classes,IEEE C57.152-2013,Primary (IEEE C57.152-2013),MΩ,> 1000 MΩ,500 - 1000 MΩ,100 - 499 MΩ,10 - 99 MΩ,< 10 MΩ (Core Ground Fault),4.0%,Core insulation resistance must remain > 100 MΩ per IEEE C57.152 Clause 6.2
Part 1: Condition Health Index (CHI),Active Part,Windings,Exciting Current,Service-Aged Liquid,All Voltage Classes,IEEE C57.152 / CIGRE 761,Primary (IEEE C57.152 / CIGRE TB 761),% Pattern Diff,Pattern Normal (Outer diff ≤ 5%),Minor Variance (Outer diff 5 - 10%),Moderate Variance (Outer diff 10 - 15%),High Variance (Outer diff 15 - 25%),Abnormal Pattern (> 25% Diff / Turn Short),4.0%,Investigate turn short / core damage if abnormal per IEEE C57.152 & CIGRE TB 761
Part 1: Condition Health Index (CHI),Active Part,Windings,Turn Ratio,Service-Aged Liquid,All Voltage Classes,IEEE C57.152-2013,Primary (IEEE C57.152-2013),% Error,≤ ±0.50 % Error,0.51 - 0.75 %,0.76 - 1.00 %,1.01 - 2.00 %,> 2.00 % Error,4.0%,Turn ratio error must not exceed ±0.5% per IEEE C57.152 Clause 6.5
Part 1: Condition Health Index (CHI),Active Part,Windings,DC Winding Resistance,Service-Aged Liquid,All Voltage Classes,IEEE C57.152-2013,Primary (IEEE C57.152-2013),% Max Error,Phase Diff ≤ 2.0 % & Prev Error ≤ 5.0 %,Phase Diff 2.1 - 3.0 %,Phase Diff 3.1 - 4.0 %,Phase Diff 4.1 - 5.0 %,Phase Diff > 5.0 % (Winding/Tap Contact Fault),4.0%,Check winding connections & tap selector if error > 2% per IEEE C57.152 Clause 6.3
Part 1: Condition Health Index (CHI),Active Part,Insulation System,Insulation Power Factor (C1/C2),Service-Aged Liquid,All Voltage Classes,IEEE C57.152-2013,Primary (IEEE C57.152-2013),%,≤ 0.50 %,0.51 - 0.75 %,0.76 - 1.00 %,1.01 - 1.50 %,> 1.50 %,4.0%,Power factor at 20°C should not exceed 1.0% per IEEE C57.152 Clause 6.1
Part 1: Condition Health Index (CHI),Active Part,Insulation System,Insulation Resistance and PI,Service-Aged Liquid,All Voltage Classes,IEEE C57.152-2013,Primary (IEEE C57.152-2013),Ratio (R10m/R1m),PI ≥ 2.00,1.50 - 1.99,1.25 - 1.49,1.00 - 1.24,< 1.00 (Moisture/Contaminated Insulation),5.0%,PI < 1.25 indicates wet or contaminated insulation per IEEE C57.152 Clause 6.1
Part 1: Condition Health Index (CHI),Bushing,Bushing Inspection,Visual Inspection,Service-Aged Liquid,All Voltage Classes,IEEE C57.152-2013,Primary (IEEE C57.152-2013 / GPSC),Score / Condition,"Normal (No oil leak, porcelain clean, no crack)",Minor dirt / Surface contamination,Oil level low / Minor chip on porcelain,Active oil seepage / Cracked porcelain,Severe oil leakage / Flashover mark / Damaged,10.0%,Routine visual inspection of bushing oil level and porcelain per IEEE C57.152 Clause 7.1
